,year,month,beta,BP,earningsfactor,leveragefactor,RSTR,Non-Linear Size,residualvolatilityfactor,Size,beta_t,BP_t,earningsfactor_t,leveragefactor_t,RSTR_t,Non-Linear Size_t,residualvolatilityfactor_t,Size_t,num
0,2013,3,-0.0880585544587671,0.009488344630486416,4.528137326029449e-06,-9.151277313425655e-06,0.48791376635745487,-2.7351814985827588e-06,0.054811647386038304,0.0012236468343885462,-31.480268546277337,2.2436952055179025,0.7785724918078787,-0.9182925578420694,47.00201504125823,-2.010699251545557,1.1267614732218523,3.595085327876905,85573
1,2013,4,0.0019038889686881302,0.0063074817685457715,1.8408941301980174e-06,-5.860908446069462e-06,0.27934729609118336,1.9943102316169793e-06,-0.2797716582476188,-0.0009113280121205161,0.5304218428291915,1.3441272795683474,0.27464531632411876,-0.5718370196861253,23.14359789847978,1.3000648412090916,-4.475982037778774,-2.3263404068195133,85573
2,2013,5,-0.004488304410510265,-0.016293058765571414,-1.6440408028467562e-05,-1.9335420821052115e-05,0.3869684088009177,-2.750401717000364e-05,-0.09397147790457766,0.006396438626712869,-1.0957402415972026,-2.84637116503643,-2.023338136307862,-1.633084797520777,32.58264543025245,-14.876331820044484,-1.3022802933361288,13.003759034023094,85573
3,2013,6,-0.08569175335456396,0.0023432762769026684,1.757223649441886e-05,1.368676028854893e-05,0.3995414110249135,2.8358652371417312e-05,-0.006254129387277596,-0.0031085324266314027,-24.66524058348272,0.6589962820008445,3.3862711366671827,1.8498491101930132,46.00110504375331,23.506388200611163,-0.27067502505046886,-9.88196372742502,85573
4,2013,7,0.018856591159878637,0.0055054618017939,-2.133521816503403e-05,-9.287870309019992e-06,0.36123136247219034,-1.9986819652606555e-05,-0.841536292421609,0.005514029928806659,3.951289049211756,1.0096219917391929,-2.655821717819778,-0.815757622541443,30.247027755179836,-9.935686457239223,-12.790506365032709,10.478664048113453,85573
5,2013,8,0.059678977333364545,0.08282281094151366,-4.09443552927346e-06,-1.793750702620698e-05,0.4500147383504498,-4.978207747019019e-06,-0.096967168693362,-0.0028456311317227273,9.522049859585287,11.116196584265355,-0.36704248976511933,-1.1077386303906824,28.85658584729254,-1.8592695438515054,-1.4043085177403356,-4.1821803098950605,85573
6,2013,9,-0.0017402394493613825,0.05689295342067328,3.1597966812696817e-06,-1.4242526470501678e-05,0.56985097330512,1.3424795280343472e-05,0.11812636221654148,-0.002814948018359426,-0.3007680343683768,7.251720044942924,0.27010885760610615,-0.8195035227035475,55.289394773333164,5.4987742409875935,1.8967986618809132,-4.777228879997885,85573
7,2013,10,-0.05404579881107852,0.04822952122996338,5.460796724780452e-07,4.174496745427539e-05,0.21797091792352788,-4.373045427422034e-06,-0.35814011999815976,0.001829000340686596,-10.072344253518825,7.703479126438194,0.05886412042171267,3.1260233679448852,15.264311412399127,-2.0727800952231865,-7.604163976058423,3.484317035413872,85573
8,2013,11,0.009377538852786905,-0.002231789935872336,-1.462271586212563e-05,-4.192145184947015e-05,0.23386315594316437,-1.1447833067527916e-05,-0.1448497057724276,0.002876646495793314,2.2724269556663557,-0.4190333479947641,-1.844476332764166,-3.7158600498659937,20.48930211514033,-6.683351241335448,-3.586633963096173,6.491337703367688,85573
9,2013,12,-0.04308764659609785,-0.0006215008404872402,-1.0502118655474805e-06,5.099574206608643e-06,0.2793083624436716,-4.07472131218207e-06,-0.18762492158343147,0.0010533453730601516,-11.915519361917177,-0.1448943208874061,-0.1646711344334941,0.5921900187078875,25.76390399234977,-2.730123803906445,-7.094136451040915,2.9073414826481523,85573
10,2014,1,-0.026427314791352536,0.012640409152426866,3.8097449022857162e-06,1.4428732760985869e-05,0.4927610702619823,3.9782541523283046e-07,-0.0990582454196333,-0.00035576969547262114,-6.691319896277632,3.0264730557039083,0.5684229152933984,1.5851725622771813,58.20712855163777,0.22915245856716185,-2.693279076757543,-0.8687113232974438,85573
11,2014,2,0.02231107825255959,0.03536841568814352,-3.976011896095317e-06,-7.806801166352365e-06,0.3327890016626414,6.451205184593905e-06,-0.3824637367989097,-0.001094069870589849,3.984330888019829,5.969212836203905,-0.413715994525534,-0.5897791771011353,27.287745979890857,2.732575980597506,-7.437375439751741,-1.9341505214966124,85573
12,2014,3,-0.03061115778730728,0.05892151063629413,2.06193366889011e-05,5.226452594021778e-05,0.23232198708386373,3.088594074650045e-06,-0.07075368005160648,-0.0017665714488183698,-5.825848290175446,11.85975881475221,2.699647885725432,4.587868858608885,15.610519707081712,1.5619812326245168,-2.1864539146352575,-3.806026193301488,85573
13,2014,4,-0.007785520465956422,0.010070358352366407,-1.5416646276890235e-06,-2.067559944227818e-06,0.34308603301389573,3.9512661583449635e-06,-0.11114487356963061,0.00022563677098035923,-2.149683959651813,2.666356647188291,-0.26373777565114026,-0.25741885265116016,29.029736106877625,2.6445559737603856,-3.9021665330720396,0.6489348654022906,85573
14,2014,5,0.01170313642584469,0.011914687801009774,-7.333547899632402e-07,3.670225810080606e-06,0.2897374342108778,2.361751944155694e-06,0.017246020468348902,-0.0006934754253584802,3.3525995844449454,3.294567450916561,-0.1306120388609748,0.5541919668776601,24.815049826206913,1.63643564729744,0.49995267612233324,-2.0375169367628714,85573
15,2014,6,-0.0014039281137257923,0.0062086945040853835,-8.156229366858017e-07,-1.022261407500671e-05,0.3587525399900145,-1.5666274331875586e-06,-0.11572095922325061,0.0014487075566744037,-0.4158582291472963,1.8074358172964775,-0.15025182340538082,-1.5309926150180075,38.11159320550907,-1.1537598150440873,-3.9995925358846107,4.536310533863922,85573
16,2014,7,0.026190585128793485,0.034512663080823965,3.391112541122629e-06,3.073824444358139e-05,0.3720162601432687,-9.197816505700088e-06,-0.5995915755721318,0.002694041027871524,5.6895773649004555,6.185835069574347,0.4155358309844477,2.875860348010037,24.698169239962702,-4.909250820502459,-10.853551009953387,5.848964117936961,85573
17,2014,8,-0.03882210026927844,-0.0073816129861799485,-1.2174067594964732e-05,-1.5002531357098098e-06,0.3931016162614768,-1.3633997172184107e-05,-0.1244677365287048,0.0029945143641960485,-9.79248349304962,-1.6763208822936142,-1.8970106305576235,-0.18141206210826705,33.11365219472752,-8.014017604085188,-2.5732033419155593,7.2115126749240686,85573
18,2014,9,0.019284630854260357,0.020714565992997015,-4.367467555263734e-06,2.1931048565821236e-05,0.4918873167707649,-7.549872205310619e-06,-0.45797712437137184,0.0002726581554087128,4.439061459356285,3.853140934790301,-0.5663054434352236,2.2530956460109905,45.30294979014608,-3.7484976161370516,-8.589490244269244,0.5646818654482256,85573
19,2014,10,-0.012089770942067478,0.031105281482428273,1.0911015948677677e-05,2.507777177157253e-05,0.3151113666062811,6.635650843345383e-06,-0.5103122567521263,-0.000799978529746947,-3.107442543476193,6.575916223247196,1.6489155213116946,3.1039724382976326,35.833445535919545,3.7873445902532166,-11.317302622088713,-2.0573155943026866,85573
20,2014,11,0.0660848401630676,-0.03176020919749859,1.2608780583784605e-05,3.402284432602389e-06,0.4514397585183507,1.754836326163614e-05,-1.4014483075841668,-0.0006288193465893496,16.647104479933244,-4.7061393580067845,1.3427697101958485,0.28389168922356733,45.561829695948305,8.714027633059018,-18.466752018604637,-1.3180114941313366,85573
21,2014,12,-0.06179367576641588,0.019324059057975924,4.4790968481070015e-05,0.0001339891965293426,0.5463885283885908,3.1599997832163434e-05,-1.4738456994549871,0.0032017884950643334,-10.546800420010642,1.917125739132974,2.981015755233707,6.614856808877982,71.71096824853704,12.459432685902428,-15.397035056347672,5.306357797370687,85573
22,2015,1,-0.0014566773038706229,-0.14443828840418127,-5.034845310350789e-05,-0.00017427016850625905,0.2924391044354665,-5.067844954474484e-05,-2.081977037821212,0.013148997148867594,-0.1598717391996201,-13.288874101101973,-3.127912855129079,-7.234902424718323,20.86152324811337,-17.58788998639072,-18.61650392653349,18.11498738011424,85573
23,2015,2,0.012341464205001727,-0.01942609920456743,-1.9905647074687482e-05,-0.00010352001424295242,0.24032633510919013,-3.410968789045456e-05,-0.8541412108133534,0.0051950656993930994,2.231651879523273,-2.7910949053866347,-2.0205568907684617,-6.753656496271941,26.737639594523394,-21.691550184355297,-12.866874147850082,12.785477841214304,85573
24,2015,3,0.021581462377964454,0.06240373531316984,8.926840232065379e-06,-6.758393793608883e-06,0.47606719531997166,-4.509618850392484e-05,-2.5604451286756675,0.009760671937309912,4.118999823423859,6.981894465270148,0.655528276520054,-0.2873967975722806,60.48142499582312,-25.40567612580345,-33.30116076573411,22.721301504649354,85573
25,2015,4,-0.0283848974143491,0.1080859312148228,-1.2172751621979807e-05,4.364472919415111e-05,0.44628804066561206,-7.4621813456384704e-06,-2.600941833794778,0.00782958262255024,-4.092969761723404,7.872041622231136,-0.6217636079005455,1.2591535598462675,78.6461645465231,-3.320627497531508,-28.035823439164258,11.120083111136061,85573
