,Trddt,Unnamed: 0,year,month,beta,BP,earningsfactor,leveragefactor,RSTR,Non-Linear Size,residualvolatilityfactor,Size,ret+1,Msmvosd
0,2013-03-01,790.5169800000001,1781.2835699999998,2.6546700000000003,0.4965336789535025,0.31573800410468333,0.5958607968998266,0.013855620186234579,0.0537776551663485,2.4374516450832795,-0.33184416723332827,2.2075357016371067,-0.05518676168,0.005419197336104734
1,2013-04-01,2195.29591,1859.93148,3.69584,0.41077535693704603,0.2913525019173956,0.649467700306287,0.011379288411834759,0.12069466392847109,2.5401941952989118,-0.2810393303332254,2.28776857263608,-0.01617977622,0.0055174966868424356
2,2013-05-01,3693.5868600000003,1887.71088,4.6888000000000005,0.3630143917901371,0.38431549605767024,0.6754482284474677,0.004203905961513649,-0.21508324760143738,2.5744457455097116,-0.11117855132403315,2.320066865069327,0.069370874,0.0053111116467556225
3,2013-06-01,5191.6998,1877.08224,5.59488,0.2645629188393155,0.3427450354098376,0.7063719037919205,-0.005294317221503489,-0.08436076906404485,2.602128569691332,-0.1249849169511672,2.3339341472584496,-0.13166550788999998,0.005495375295831778
4,2013-07-01,6731.028200000001,1874.9685900000002,6.520010000000001,0.3607457050222562,0.3746237123983386,0.7337110404155589,0.020862012795730002,-0.29183653016486244,2.548409746817958,0.026128304801417146,2.3007560808605545,0.010696457499999996,0.005299705159432908
5,2013-08-01,8407.98217,1896.40704,7.53664,0.2952032309704171,0.4542925331170008,0.7237075153270224,0.038482785693154775,-0.3656545357873416,2.561567526338653,0.041614952971650784,2.3133010375023417,0.05818373028,0.005119511544439926
6,2013-09-01,10102.82396,1908.6662100000003,8.533529999999999,0.3659105099849107,0.42836881321315823,0.7030180362406783,0.018720022944872197,-0.25684433956750524,2.5856606871739247,0.15936447373149093,2.3357589488923973,0.05239875457,0.005063719372061083
7,2013-10-01,11779.83568,1911.56493,9.4961,-0.08764511424197985,0.4340859822522097,0.7077478985560179,0.02979816836733675,-0.2085289719198514,2.6250511663191785,0.036053891788684,2.3667945767723104,-0.006911203599999998,0.005179087656067013
8,2013-11-01,13455.64513,1909.95453,10.436910000000001,0.18124215361632184,0.4943446590667093,0.7152000322691003,0.027493539836330794,-0.4075022376270101,2.602942304304667,0.13643416359480245,2.3555230576226,0.030118740409999997,0.004970480590589638
9,2013-12-01,15176.05181,1914.7656,11.4144,0.006149969542796174,0.4435830982172957,0.6969433434892348,0.034548974935791475,-0.39132105987689586,2.5978346841309827,0.028317509378461038,2.356134183557571,-0.037367380209999995,0.004838398338302752
10,2014-01-01,17004.20034,1925.6458200000002,0.9561300000000001,-0.03742905530699216,0.6383233988448319,0.7693467259926157,0.04258845974549971,-0.5204857385906225,2.6033077903169604,0.07160052723261723,2.35614765777482,-0.047466338350000005,0.004684809356575328
